,file,filesize,duration,samplerate
0,10012421007954814049,616364,12.84,24000
1,10113084881655228475,322604,6.72,24000
2,10155382650621938825,347564,7.24,24000
3,10296397337188470206,693164,14.44,24000
4,10372769597690807035,433964,9.04,24000
5,10384023295824244841,865964,18.04,24000
6,10443061139049103830,330284,6.88,24000
7,1048472247074616639,426284,8.88,24000
8,10541664372864135405,595244,12.4,24000
9,10598537490073721096,422444,8.8,24000
10,10618096202527189020,518444,10.8,24000
11,1064017483293853011,313004,6.52,24000
12,10643177695350295438,1140524,23.76,24000
13,10644599753087793153,345644,7.2,24000
14,10653685210533678960,357164,7.44,24000
15,10684282570119456104,506924,10.56,24000
16,10698449642153188309,318764,6.64,24000
17,10734586378716966302,503084,10.48,24000
18,10767184907303007855,480044,10.0,24000
19,10779270973097437712,382124,7.96,24000
20,10800807069345699673,276524,5.76,24000
21,10817011519894536413,658604,13.72,24000
22,1082526890319744810,846764,17.64,24000
23,10971034085900870223,478124,9.96,24000
24,10979056804989304105,439724,9.16,24000
25,10979942625370155204,587564,12.24,24000
26,10990629507895095010,720044,15.0,24000
27,11114326648060182351,675884,14.08,24000
28,1116354289997973445,289964,6.04,24000
29,11260224583695898984,380204,7.92,24000
30,11306846724119285654,224684,4.68,24000
31,11391882968752799908,595244,12.4,24000
32,11441074641943106448,549164,11.44,24000
33,11470618761766821952,708524,14.76,24000
34,11483316529550161007,576044,12.0,24000
35,11505169623723290007,777644,16.2,24000
36,1166646579915951389,535724,11.16,24000
37,11713391672113642907,622124,12.96,24000
38,11735839336290409915,295724,6.16,24000
39,11762576315226739449,259244,5.4,24000
40,11912316172817922334,604844,12.6,24000
41,12016547139470225753,852524,17.76,24000
42,12083738979108481532,627884,13.08,24000
43,12089056118726233382,380204,7.92,24000
44,12097399424652584029,451244,9.4,24000
45,12106426107848576830,410924,8.56,24000
46,12195901697963455511,305324,6.36,24000
47,12196869313030069304,455084,9.48,24000
48,1220707237950259883,541484,11.28,24000
49,12218686026062922399,478124,9.96,24000
50,12263804632815878953,347564,7.24,24000
51,12326883216448639643,771884,16.08,24000
52,1238356147450688315,618284,12.88,24000
53,12453905551091570336,535724,11.16,24000
54,12469664423706004724,923564,19.24,24000
55,1247292977090400131,397484,8.28,24000
56,12479688450939853717,647084,13.48,24000
57,12490547516308232795,397484,8.28,24000
58,12513561723497346087,497324,10.36,24000
59,12518554272571054144,512684,10.68,24000
60,1253271827148943491,409004,8.52,24000
61,12540973772361852114,570284,11.88,24000
62,12545299339339279990,336044,7.0,24000
63,12555725356083880472,449324,9.36,24000
64,12610871923590618074,485804,10.12,24000
65,12683622346025295102,397484,8.28,24000
66,12750535473703925102,549164,11.44,24000
67,12758664006565045229,601004,12.52,24000
68,12837555611962622958,299564,6.24,24000
69,12850255505803757904,529964,11.04,24000
70,12885176493119228896,466604,9.72,24000
71,12968371903115646612,541484,11.28,24000
72,12975732708240102838,451244,9.4,24000
73,13011478952990713963,748844,15.6,24000
74,13071239628730178496,351404,7.32,24000
75,13072860758017962791,330284,6.88,24000
76,13103476960613723708,276524,5.76,24000
77,13109377869810761561,328364,6.84,24000
78,13140341642307920184,558764,11.64,24000
79,13183273587318087724,531884,11.08,24000
80,13187294737198940710,681644,14.2,24000
81,13288212553078180843,541484,11.28,24000
82,1331264096349151822,771884,16.08,24000
83,1335367944160247023,645164,13.44,24000
84,13373100670555046543,554924,11.56,24000
85,13498307231249503717,445484,9.28,24000
86,13718616518370895326,731564,15.24,24000
87,13746571040711961886,451244,9.4,24000
88,13784116856636544705,491564,10.24,24000
89,13788835737368647273,618284,12.88,24000
90,13927626200411920180,852524,17.76,24000
91,13931388172104492054,760364,15.84,24000
92,13938213405650186935,535724,11.16,24000
93,13940685309006029581,681644,14.2,24000
94,13970295805661576857,1096364,22.84,24000
95,13995463328307456538,808364,16.84,24000
96,14003153276280788272,403244,8.4,24000
97,14038802241606519359,232364,4.84,24000
98,14046297556663469185,647084,13.48,24000
99,14127217136570599200,531884,11.08,24000
100,14218967785122004725,762284,15.88,24000
101,14324593905122631645,531884,11.08,24000
102,14327986295141117007,364844,7.6,24000
103,14379424533610931021,311084,6.48,24000
104,14422346129860597721,564524,11.76,24000
105,14461265516430754328,604844,12.6,24000
106,14525861571896924735,472364,9.84,24000
107,14572366945714020455,618284,12.88,24000
108,14572405636713132282,714284,14.88,24000
109,14612260697360912914,512684,10.68,24000
110,14631557983403267471,410924,8.56,24000
111,14641915123959860793,553004,11.52,24000
112,14726033326230606856,345644,7.2,24000
113,14732948223689632278,508844,10.6,24000
114,14797667240824596310,675884,14.08,24000
115,14812540545161746440,341804,7.12,24000
116,14830219430636564534,437804,9.12,24000
117,15017889875718291736,708524,14.76,24000
118,15047460736057854814,564524,11.76,24000
119,1505526723478052591,535724,11.16,24000
120,1506038610622155109,357164,7.44,24000
121,15119809011649271502,491564,10.24,24000
122,15192894099858768939,503084,10.48,24000
123,15233027077636635906,491564,10.24,24000
124,15292656806204061746,324524,6.76,24000
125,15321735567611807292,633644,13.2,24000
126,15337623605161343586,414764,8.64,24000
127,15368001066733394198,437804,9.12,24000
128,15393285534896317254,255404,5.32,24000
129,15422928661551795637,549164,11.44,24000
130,1543062545621760168,771884,16.08,24000
131,15439751674693680484,451244,9.4,24000
132,15462098161223962233,529964,11.04,24000
133,15480792035967932501,489644,10.2,24000
134,15534140668201464103,420524,8.76,24000
135,15626613172613957016,445484,9.28,24000
136,15628495833409867248,282284,5.88,24000
137,1571136272203931561,506924,10.56,24000
138,15738951516642911499,593324,12.36,24000
139,15819391143362842617,512684,10.68,24000
140,15820641837501320624,316844,6.6,24000
141,15843227467485500880,541484,11.28,24000
142,15875861981016757916,399404,8.32,24000
143,15965397814165957783,720044,15.0,24000
144,1609174431963973550,537644,11.2,24000
145,16099329962517195568,501164,10.44,24000
146,16160441539124069310,220844,4.6,24000
147,16187044165624166770,570284,11.88,24000
148,16204240656467949085,399404,8.32,24000
149,16237189314514529421,506924,10.56,24000
150,16267031540476565504,675884,14.08,24000
151,16291388205102470358,282284,5.88,24000
152,16293374299669061143,416684,8.68,24000
153,1646399453764147131,457004,9.52,24000
154,16496368143705733988,316844,6.6,24000
155,16496682342487637525,633644,13.2,24000
156,16503354547066832391,307244,6.4,24000
157,16540736206250496248,572204,11.92,24000
158,16542871979723604423,491564,10.24,24000
159,16553732030273177432,766124,15.96,24000
160,16576953336895376877,380204,7.92,24000
161,1659238436689903928,422444,8.8,24000
162,1667041046176984341,720044,15.0,24000
163,16689075118564695177,639404,13.32,24000
164,16693514785896929515,664364,13.84,24000
165,16728430244567903737,316844,6.6,24000
166,16736275343392827291,627884,13.08,24000
