,file,filesize,duration,samplerate
0,10692625424123505098,547244,11.4,24000
1,11454979434818428267,581804,12.12,24000
2,12237558880860331773,495404,10.32,24000
3,13251554734104424317,351404,7.32,24000
4,13558669085311513598,426284,8.88,24000
5,13654627507208845681,604844,12.6,24000
6,13858737711615445742,485804,10.12,24000
7,13861060637840771408,382124,7.96,24000
8,13890748266364265530,673964,14.04,24000
9,1408299134735939379,691244,14.4,24000
10,15148376100928681865,518444,10.8,24000
11,15217777191528080531,864044,18.0,24000
12,15329408916196338935,541484,11.28,24000
13,15337494349073161032,624044,13.0,24000
14,15546004231405603813,915884,19.08,24000
15,15558760529334152493,501164,10.44,24000
16,15572635356708203794,564524,11.76,24000
17,16390148026035720006,508844,10.6,24000
18,16493682796109575979,501164,10.44,24000
19,16674087111102605341,691244,14.4,24000
20,16874097878670149585,668204,13.92,24000
21,17152387922900344672,618284,12.88,24000
22,17279825518235813804,553004,11.52,24000
23,17332378814660919742,823724,17.16,24000
24,17413479902862000561,466604,9.72,24000
25,2428383302412660317,679724,14.16,24000
26,3602777347149407046,462764,9.64,24000
27,4491817802707826297,553004,11.52,24000
28,4563468691723400863,616364,12.84,24000
29,4605799292130559227,336044,7.0,24000
30,513904964009599398,664364,13.84,24000
31,5743132057168797740,829484,17.28,24000
32,6585712105804890349,353324,7.36,24000
33,6824958744944736747,380204,7.92,24000
34,8618668462397114450,777644,16.2,24000
35,900437937093756725,503084,10.48,24000
36,10385926483466854894,662444,13.8,24000
37,1042376133630507497,483884,10.08,24000
38,10662724737122379819,564524,11.76,24000
39,10777832524687676321,633644,13.2,24000
40,11384013461325411144,581804,12.12,24000
41,11403507630812198652,702764,14.64,24000
42,1141015850722401632,779564,16.24,24000
43,11615027257763555529,622124,12.96,24000
44,11750080497419074968,503084,10.48,24000
45,12879650366048399412,566444,11.8,24000
46,1377212671739561394,691244,14.4,24000
47,14108598523953736352,564524,11.76,24000
48,14299931436115341688,639404,13.32,24000
49,14342042387295803210,524204,10.92,24000
50,14407495317466163664,785324,16.36,24000
51,14523957044704010150,570284,11.88,24000
52,14615121641664322307,1278764,26.64,24000
53,14692251440041443971,495404,10.32,24000
54,14904600458501532981,675884,14.08,24000
55,15075775303704391569,443564,9.24,24000
56,1524177444352869353,1296044,27.0,24000
57,15471631955295380531,553004,11.52,24000
58,15601259892659117637,604844,12.6,24000
59,17494204723495012187,1152044,24.0,24000
60,17689635092183302946,478124,9.96,24000
61,18162838769079604613,612524,12.76,24000
62,3185856958167743230,881324,18.36,24000
63,3639520709044602554,704684,14.68,24000
64,4127782400394818744,449324,9.36,24000
65,4619340931941151909,670124,13.96,24000
66,4669780413347292559,524204,10.92,24000
67,4912121988648984313,812204,16.92,24000
68,4934671031316826684,858284,17.88,24000
69,5094896339101539307,593324,12.36,24000
70,6282706669318557328,610604,12.72,24000
71,6504205591191864190,927404,19.32,24000
72,6532027995760552194,1324844,27.6,24000
73,7770809628373678276,409004,8.52,24000
74,7994483693411257807,564524,11.76,24000
75,8130088538173377204,635564,13.24,24000
76,8413062723019203615,635564,13.24,24000
77,8546015840825081587,627884,13.08,24000
78,8730039352453917146,518444,10.8,24000
79,8807904215831629409,455084,9.48,24000
80,9000898834851083188,743084,15.48,24000
81,9568464397614762568,535724,11.16,24000
82,1001539022957290537,491564,10.24,24000
83,10015439054451116429,576044,12.0,24000
84,10053528006055158568,606764,12.64,24000
85,10081031016848653570,650924,13.56,24000
86,1010996209941465216,313004,6.52,24000
87,10125410008588035097,618284,12.88,24000
88,10126866060504619138,543404,11.32,24000
89,10127338944955705615,489644,10.2,24000
90,10187454866398631601,449324,9.36,24000
91,10213161200598245920,529964,11.04,24000
92,10240070882499246081,416684,8.68,24000
93,10244085879382183734,892844,18.6,24000
94,10260148752245334107,812204,16.92,24000
95,10303646244932545401,393644,8.2,24000
96,10326086148810913995,480044,10.0,24000
97,10328255372930020604,472364,9.84,24000
98,10346754671882990713,992684,20.68,24000
99,10347212701354334089,272684,5.68,24000
100,10366320452087903453,347564,7.24,24000
101,10366770080397770586,341804,7.12,24000
102,10427166002480161098,495404,10.32,24000
103,10454919646113455046,506924,10.56,24000
104,10464705377215795216,409004,8.52,24000
105,10476076504167170108,675884,14.08,24000
106,10506880621170724965,451244,9.4,24000
107,10511387656024453526,416684,8.68,24000
108,10516289057263596781,842924,17.56,24000
