,file,filesize,duration,samplerate
0,10046662700639273789,526124,10.96,24000
1,10095462522187569008,541484,11.28,24000
2,10113962476311170198,483884,10.08,24000
3,10162415673842061772,255404,5.32,24000
4,1018334236784453803,697004,14.52,24000
5,10198322180788259777,376364,7.84,24000
6,10204198522148189347,224684,4.68,24000
7,10285225680899423526,564524,11.76,24000
8,10304217768453906675,589484,12.28,24000
9,10429808075983748674,480044,10.0,24000
10,10455249083479406456,524204,10.92,24000
11,10807296536318758552,514604,10.72,24000
12,1088972910172886749,610604,12.72,24000
13,11000102102275375398,612524,12.76,24000
14,11081115801935956974,1284524,26.76,24000
15,11130023525571424008,720044,15.0,24000
16,1134158492240768675,576044,12.0,24000
17,11372718516431004060,627884,13.08,24000
18,11706603860994552804,702764,14.64,24000
19,11804800073630056246,483884,10.08,24000
20,12200018993758720703,495404,10.32,24000
21,12228475624169480883,606764,12.64,24000
22,12362844410603510166,721964,15.04,24000
23,12389523045611078088,472364,9.84,24000
24,12702356624259831439,622124,12.96,24000
25,12736667364570041971,704684,14.68,24000
26,12756560907748010522,553004,11.52,24000
27,130417751422329246,468524,9.76,24000
28,13044139975722875370,647084,13.48,24000
29,13053635854816027230,606764,12.64,24000
30,1313729432438486276,581804,12.12,24000
31,13299243615258116333,961964,20.04,24000
32,13358565706572695062,725804,15.12,24000
33,13411367057896220013,817964,17.04,24000
34,13427455319542096231,589484,12.28,24000
35,13767698177166436189,543404,11.32,24000
36,13778953430995262521,720044,15.0,24000
37,13985203289044010506,731564,15.24,24000
38,14126090448917746952,564524,11.76,24000
39,14248508793644957350,1100204,22.92,24000
40,14272811028168380943,483884,10.08,24000
41,14724371807674541368,627884,13.08,24000
42,1476262696693739912,889004,18.52,24000
43,1476451034751237575,739244,15.4,24000
44,1503646787637885336,716204,14.92,24000
45,15227328441013254828,576044,12.0,24000
46,15301348290727783111,547244,11.4,24000
47,15583094668646474439,658604,13.72,24000
48,15600390865149858692,483884,10.08,24000
49,15642256711999049856,581804,12.12,24000
50,1573331346155381310,420524,8.76,24000
51,15951132943410085097,691244,14.4,24000
52,16134758066225796560,973484,20.28,24000
53,16143658990962810744,472364,9.84,24000
54,16204899104883107714,410924,8.56,24000
55,16207842413386236767,593324,12.36,24000
56,16227080161085578791,460844,9.6,24000
57,16241981738700095656,777644,16.2,24000
58,16259456524039213154,685484,14.28,24000
59,16626307888123304600,593324,12.36,24000
60,16632873980361130685,650924,13.56,24000
61,16697391579193537659,647084,13.48,24000
62,16796976163973187583,760364,15.84,24000
63,16855972576779915608,702764,14.64,24000
64,17002533033944864381,875564,18.24,24000
65,17125268117878179614,437804,9.12,24000
66,17533127393844096577,760364,15.84,24000
67,17844352800289375765,495404,10.32,24000
68,17850315440269312438,414764,8.64,24000
69,17870060406357744142,697004,14.52,24000
70,18156193118138817124,553004,11.52,24000
71,18264359881018433451,485804,10.12,24000
72,210446236412172455,524204,10.92,24000
73,2387606317610145544,261164,5.44,24000
74,2631152032571337725,437804,9.12,24000
75,2666055912905617969,497324,10.36,24000
76,2710165095102238094,420524,8.76,24000
77,2753576435475599774,581804,12.12,24000
78,2804269346338094057,645164,13.44,24000
79,2831624300366281879,794924,16.56,24000
80,2838422415654171514,353324,7.36,24000
81,2845675102278353655,472364,9.84,24000
82,295873506371726558,583724,12.16,24000
83,3474690938023691125,339884,7.08,24000
84,357388863250290052,635564,13.24,24000
85,3790319611058659273,581804,12.12,24000
86,4022362153466824823,512684,10.68,24000
87,4124117463608781899,1013804,21.12,24000
88,4297470197860124561,766124,15.96,24000
89,4516335175596058048,457004,9.52,24000
90,456809973051854246,593324,12.36,24000
91,4622444478194201295,783404,16.32,24000
92,4628688041963632839,485804,10.12,24000
93,4659168686628807766,679724,14.16,24000
94,4694230234299983773,311084,6.48,24000
95,4739722915693408170,748844,15.6,24000
96,4751834297965562484,650924,13.56,24000
97,4829921821607273067,495404,10.32,24000
98,4888044913036789712,558764,11.64,24000
99,4904784499279989824,587564,12.24,24000
100,5013925948028408892,697004,14.52,24000
101,5074682879701157533,549164,11.44,24000
102,5129536955222037544,848684,17.68,24000
103,5146417821596111894,658604,13.72,24000
104,5157036658281702064,673964,14.04,24000
105,5462278832489840288,739244,15.4,24000
106,5495773447000075686,529964,11.04,24000
107,5525193794988023484,650924,13.56,24000
108,5628213718500061674,754604,15.72,24000
109,5671417667596416954,645164,13.44,24000
110,5741564711392229060,685484,14.28,24000
111,609588495335481631,445484,9.28,24000
112,6209898317907059906,485804,10.12,24000
113,6240957719304547274,543404,11.32,24000
114,6273452916664645968,720044,15.0,24000
115,6296430099814935307,449324,9.36,24000
116,6299184805976968609,445484,9.28,24000
117,6335835788367337528,524204,10.92,24000
118,6355074776786273722,817964,17.04,24000
119,6426137608845461417,382124,7.96,24000
120,6443821611839286111,313004,6.52,24000
121,6608638152909350826,750764,15.64,24000
122,6786724320797200571,894764,18.64,24000
123,6867542340666512618,745004,15.52,24000
124,6925238582544489530,760364,15.84,24000
125,7041966291564762886,708524,14.76,24000
126,7225371536879751659,599084,12.48,24000
127,7225810478123303300,541484,11.28,24000
128,7337879475524045039,380204,7.92,24000
129,7362460087913095599,518444,10.8,24000
130,7418767692442073710,405164,8.44,24000
131,7452098440487225888,668204,13.92,24000
132,7470775949224665379,364844,7.6,24000
133,7478328126079414365,641324,13.36,24000
134,7585555894781787928,566444,11.8,24000
135,7834552010913950753,543404,11.32,24000
136,7927507411259470689,670124,13.96,24000
137,8101677308938551425,362924,7.56,24000
138,813144053390121222,981164,20.44,24000
139,813750362715394909,347564,7.24,24000
140,8312621149526411793,656684,13.68,24000
141,8326771082524722758,455084,9.48,24000
142,8372466713222328135,1255724,26.16,24000
143,8638147044762581313,633644,13.2,24000
144,8742216172444072795,508844,10.6,24000
145,877201531049521646,823724,17.16,24000
146,9005272687809022396,399404,8.32,24000
147,9028840987819849420,629804,13.12,24000
148,9056093435796636497,645164,13.44,24000
149,90859851719561469,704684,14.68,24000
150,9174148446675053989,537644,11.2,24000
151,9398976979112207539,720044,15.0,24000
152,9410846026358818631,491564,10.24,24000
153,9556392565653452859,391724,8.16,24000
154,9606508265679084779,422444,8.8,24000
155,9634494810810937120,480044,10.0,24000
156,9689513952795804120,656684,13.68,24000
157,9755516471245709611,526124,10.96,24000
158,9779226548701767082,376364,7.84,24000
159,9886832374482945141,474284,9.88,24000
160,9989474766132805152,572204,11.92,24000
161,10009208613112238545,783404,16.32,24000
162,10079345942595448902,483884,10.08,24000
163,10127119633288296536,397484,8.28,24000
164,1017469410462020785,549164,11.44,24000
165,1018158342225780238,881324,18.36,24000
166,10212780171945715548,889004,18.52,24000
167,10268701139472903088,387884,8.08,24000
168,10301562314551190915,391724,8.16,24000
169,10347392712054823351,353324,7.36,24000
170,10509535814227214509,854444,17.8,24000
171,10552849394291444927,529964,11.04,24000
172,10598317297069084726,529964,11.04,24000
173,10607203622000752890,616364,12.84,24000
174,10650819178052265905,595244,12.4,24000
175,10651140210857944888,635564,13.24,24000
176,10661099625313576853,595244,12.4,24000
177,10665102698652980868,652844,13.6,24000
178,10675097351007968301,587564,12.24,24000
179,10700517162582968042,645164,13.44,24000
180,10793349548430505387,576044,12.0,24000
181,10896839061211833050,541484,11.28,24000
182,10947110470529728298,745004,15.52,24000
183,10971566059963883748,604844,12.6,24000
184,1098650423476541185,478124,9.96,24000
185,11011092187149376379,397484,8.28,24000
186,11179864828590441891,754604,15.72,24000
187,11247664810696155139,576044,12.0,24000
188,11248868624266928549,422444,8.8,24000
189,11431253761341919424,721964,15.04,24000
190,11465003340400308403,506924,10.56,24000
191,11490592787165972008,892844,18.6,24000
192,1149721405048221454,472364,9.84,24000
193,11512193508204175690,495404,10.32,24000
194,1154956301073680595,518444,10.8,24000
195,11564926202789536021,823724,17.16,24000
196,1162813123245032091,869804,18.12,24000
197,11667133769719521310,622124,12.96,24000
198,11709123870091874974,201644,4.2,24000
199,11724081550703361082,558764,11.64,24000
200,11750619929072058197,541484,11.28,24000
201,11753391051667797860,282284,5.88,24000
202,11914387458893159463,387884,8.08,24000
203,1198037786366942938,771884,16.08,24000
204,11987030302143771652,577964,12.04,24000
205,12019804597205841055,702764,14.64,24000
206,12046467679048108084,662444,13.8,24000
207,12086341839951577125,328364,6.84,24000
208,12130706508539646669,777644,16.2,24000
209,12181544876277664973,616364,12.84,24000
210,12311956082430560872,1065644,22.2,24000
211,1239341608280570628,572204,11.92,24000
212,12445185525871960275,720044,15.0,24000
213,12687009048827957663,514604,10.72,24000
214,12725361559823971748,432044,9.0,24000
215,12769249749046608364,650924,13.56,24000
216,12773396778715979241,685484,14.28,24000
217,1278089843423782051,524204,10.92,24000
218,12808423976577154153,679724,14.16,24000
219,12818962250302305226,681644,14.2,24000
220,12858478610413855721,773804,16.12,24000
221,12928251446973176914,382124,7.96,24000
222,12934934241797187767,576044,12.0,24000
223,12948809990651325405,892844,18.6,24000
224,12957850355858580747,929324,19.36,24000
225,12998730888540162673,455084,9.48,24000
226,13065867426012153115,743084,15.48,24000
227,13109879992654385637,771884,16.08,24000
228,13133428310446279006,733484,15.28,24000
229,1328341287726396929,299564,6.24,24000
230,13398659050914649049,547244,11.4,24000
231,13464798769250819455,768044,16.0,24000
232,13495068422205745485,789164,16.44,24000
233,13525411687054190895,529964,11.04,24000
234,13606935507430335497,197804,4.12,24000
235,13621760107980904729,720044,15.0,24000
236,13626957857207774916,541484,11.28,24000
237,13655060722260633336,457004,9.52,24000
238,13707351490918119781,697004,14.52,24000
239,13756441010628742931,449324,9.36,24000
240,13877414274184464219,380204,7.92,24000
241,13967590258812091109,624044,13.0,24000
242,14036077772669460574,468524,9.76,24000
243,14047753868800155120,497324,10.36,24000
244,14117701355494966015,466604,9.72,24000
245,14160525380941604620,760364,15.84,24000
246,14210840763514153910,593324,12.36,24000
247,14280582796923325742,708524,14.76,24000
248,14290144280148000001,760364,15.84,24000
249,14361670659312496625,437804,9.12,24000
250,14362955676586320045,616364,12.84,24000
251,14403078234730538537,426284,8.88,24000
252,14421799110084561749,514604,10.72,24000
253,14428840920261263188,541484,11.28,24000
254,14532636557648949526,1175084,24.48,24000
255,14534154989898041668,518444,10.8,24000
256,14540921006189282707,572204,11.92,24000
257,14562813582729421070,566444,11.8,24000
258,1457886749947895324,449324,9.36,24000
259,14640498529342618017,480044,10.0,24000
260,147372074533192980,255404,5.32,24000
261,1474317442910065482,1163564,24.24,24000
262,14756944799948768361,725804,15.12,24000
263,14870442848713696392,1347884,28.08,24000
264,14889664921551555162,583724,12.16,24000
265,14955569203989847657,558764,11.64,24000
266,15008781996825095126,691244,14.4,24000
267,15033996914564511912,299564,6.24,24000
268,15063165812158393622,501164,10.44,24000
269,15081909569130595518,433964,9.04,24000
270,1516592987129793611,639404,13.32,24000
271,15196576556319995354,846764,17.64,24000
272,15314518403267722738,610604,12.72,24000
273,15319476603569909873,566444,11.8,24000
274,15326985931328092358,785324,16.36,24000
275,15387776803928918703,558764,11.64,24000
276,15557381628783358408,777644,16.2,24000
277,15623269639031916712,474284,9.88,24000
278,1564505577803863929,238124,4.96,24000
279,15648648867532310858,639404,13.32,24000
280,15681208831769184678,472364,9.84,24000
281,1577634577650785152,560684,11.68,24000
282,15785131477610366166,760364,15.84,24000
283,15812384543201474908,437804,9.12,24000
284,15860872033912071404,474284,9.88,24000
285,15880315656666498194,531884,11.08,24000
286,15885919361962010963,622124,12.96,24000
287,15892968391569503159,1347884,28.08,24000
288,15962644632619127134,520364,10.84,24000
289,16020909080096339766,480044,10.0,24000
290,16062986726724387109,553004,11.52,24000
291,16119937658455062159,432044,9.0,24000
292,1617178358752493106,537644,11.2,24000
293,16330042289931898446,887084,18.48,24000
294,16462408677543960220,581804,12.12,24000
295,165224774077080736,495404,10.32,24000
296,16541822832110998654,883244,18.4,24000
297,16559121362272990398,647084,13.48,24000
298,16562048316170241591,576044,12.0,24000
299,16606070718182214441,973484,20.28,24000
300,16723629867897395708,409004,8.52,24000
301,16804809816643092268,1036844,21.6,24000
302,169351004307456770,716204,14.92,24000
303,16990317296626900754,789164,16.44,24000
304,17001280351365941715,656684,13.68,24000
305,17015461856540771928,841004,17.52,24000
306,17021247787291621953,485804,10.12,24000
307,17105456019583266550,529964,11.04,24000
308,17160122077002019913,531884,11.08,24000
309,17167065013312713155,445484,9.28,24000
310,17172434163674919043,549164,11.44,24000
311,1718538256379189847,462764,9.64,24000
312,17238862575533708859,351404,7.32,24000
313,17314313536593113268,466604,9.72,24000
314,1740061554865335134,518444,10.8,24000
315,17450162759789763741,577964,12.04,24000
316,17473686953708721699,518444,10.8,24000
317,17489838091815887203,618284,12.88,24000
318,17502766089531049552,576044,12.0,24000
319,17542956952713300639,506924,10.56,24000
320,17553635810104097695,668204,13.92,24000
321,17679654813716465208,547244,11.4,24000
322,17725215953565060261,558764,11.64,24000
323,17768969127659363173,437804,9.12,24000
324,17787926344581654637,485804,10.12,24000
325,17910588336484249376,422444,8.8,24000
326,17930266857900922482,572204,11.92,24000
327,17934536734410284448,708524,14.76,24000
328,17946857773890828280,351404,7.32,24000
329,17996575887440156794,495404,10.32,24000
330,18062118941700018232,564524,11.76,24000
331,18133988043741998881,485804,10.12,24000
332,18152809332373424200,641324,13.36,24000
333,18290997715047371905,330284,6.88,24000
334,1832428494197735208,483884,10.08,24000
335,1846560189340881435,572204,11.92,24000
336,1851953538238789552,681644,14.2,24000
337,1882109834715713560,485804,10.12,24000
338,194676575280889901,1094444,22.8,24000
339,2105481455156255965,610604,12.72,24000
340,2154071046737244235,506924,10.56,24000
341,2173172473237948380,604844,12.6,24000
342,2280134803522767431,814124,16.96,24000
