,file,filesize,duration,samplerate
0,10092490857974171934,520364,10.84,24000
1,10112081224660951024,489644,10.2,24000
2,10203567529405446063,468524,9.76,24000
3,10238852566791493440,576044,12.0,24000
4,10265664148994425275,852524,17.76,24000
5,10298481855712728955,439724,9.16,24000
6,10342698629622145451,560684,11.68,24000
7,1036098238492151242,583724,12.16,24000
8,10368873816909971939,606764,12.64,24000
9,10411502267097546866,906284,18.88,24000
10,10415498235176037151,422444,8.8,24000
11,1047102639768086701,560684,11.68,24000
12,10569039890770092072,524204,10.92,24000
13,10705319814270208711,679724,14.16,24000
14,1072100211413267438,420524,8.76,24000
15,10834403173179344671,451244,9.4,24000
16,10869940028478890483,374444,7.8,24000
17,10878942209962463839,362924,7.56,24000
18,10890076096809006585,698924,14.56,24000
19,10897494650657584393,622124,12.96,24000
20,10929469410384465728,276524,5.76,24000
21,10949254885271729221,324524,6.76,24000
22,10994589000822646997,282284,5.88,24000
23,11000096123421639351,276524,5.76,24000
24,11030820031978426988,485804,10.12,24000
25,11046286194796046971,710444,14.8,24000
26,11080045680103550490,249644,5.2,24000
27,11160028023696751334,1004204,20.92,24000
28,11173643516321248083,468524,9.76,24000
29,11180866245189732230,576044,12.0,24000
30,11280073337756376582,616364,12.84,24000
31,11366570002070918407,391724,8.16,24000
32,11418306763600487499,520364,10.84,24000
33,11443654679077613492,583724,12.16,24000
34,11467534423158087806,675884,14.08,24000
35,115157654615163054,627884,13.08,24000
36,11569667308931109881,272684,5.68,24000
37,11747751453159552951,405164,8.44,24000
38,11775444486115927079,1159724,24.16,24000
39,11896556145391465150,299564,6.24,24000
40,11920009535847609821,743084,15.48,24000
41,11966840086582864533,213164,4.44,24000
42,11982403688868831185,347564,7.24,24000
43,11983905827425359527,266924,5.56,24000
44,12139572936494138931,180524,3.76,24000
45,12215422483996843410,537644,11.2,24000
46,12400025884100006477,339884,7.08,24000
47,12464246743882445418,345644,7.2,24000
48,12530561252082636521,445484,9.28,24000
49,1254272516377754051,265004,5.52,24000
50,12546896509293019276,589484,12.28,24000
51,12566864744102753442,503084,10.48,24000
52,12652231317912519730,520364,10.84,24000
53,12715283872403759444,520364,10.84,24000
54,12758155193743374128,610604,12.72,24000
55,12778479862434299326,766124,15.96,24000
56,12822587563074456555,940844,19.6,24000
57,12896282192839363387,439724,9.16,24000
58,12910443465578162710,664364,13.84,24000
59,12947822739673929223,213164,4.44,24000
60,13000024245037450109,284204,5.92,24000
61,1301371067759833332,437804,9.12,24000
62,13043560228554490722,483884,10.08,24000
63,13094994390254189530,437804,9.12,24000
64,13115517194131938507,382124,7.96,24000
65,1312520915763984937,357164,7.44,24000
66,13210583300505457932,437804,9.12,24000
67,1327624768726775824,754604,15.72,24000
68,13276731530970068211,652844,13.6,24000
69,13304555367467579043,278444,5.8,24000
70,13317290256154117346,322604,6.72,24000
71,13318037481388005529,422444,8.8,24000
72,13425853607950612646,553004,11.52,24000
73,13451969985318992175,685484,14.28,24000
74,13497185707603690709,428204,8.92,24000
75,13546573358118981932,213164,4.44,24000
76,13557429404524463551,241964,5.04,24000
77,13563359870142312319,416684,8.68,24000
78,13572675255619892060,681644,14.2,24000
79,13619153629802940009,370604,7.72,24000
80,13624133163428439161,687404,14.32,24000
81,13641958558492600128,595244,12.4,24000
82,13718804536749932324,771884,16.08,24000
